# x	Analytical	Spline
1.280500	-0.394359	-0.394341
1.282000	-0.396325	-0.396308
1.283500	-0.398289	-0.398274
1.285000	-0.400251	-0.400237
1.286500	-0.402210	-0.402198
1.288000	-0.404167	-0.404157
1.289500	-0.406122	-0.406113
1.291000	-0.408075	-0.408067
1.292500	-0.410026	-0.410019
1.294000	-0.411974	-0.411969
1.295500	-0.413920	-0.413916
1.297000	-0.415864	-0.415861
1.298500	-0.417805	-0.417804
1.300000	-0.419744	-0.419744
1.301500	-0.421681	-0.421682
1.303000	-0.423615	-0.423618
1.304500	-0.425547	-0.425551
1.306000	-0.427477	-0.427482
1.307500	-0.429404	-0.429410
1.309000	-0.431329	-0.431336
1.310500	-0.433251	-0.433260
1.312000	-0.435171	-0.435181
1.313500	-0.437089	-0.437100
1.315000	-0.439004	-0.439016
1.316500	-0.440917	-0.440930
1.318000	-0.442827	-0.442842
1.319500	-0.444735	-0.444751
1.321000	-0.446641	-0.446657
1.322500	-0.448544	-0.448562
1.324000	-0.450444	-0.450463
1.325500	-0.452342	-0.452362
1.327000	-0.454237	-0.454259
1.328500	-0.456130	-0.456153
1.330000	-0.458021	-0.458044
1.331500	-0.459908	-0.459933
1.333000	-0.461794	-0.461819
1.334500	-0.463676	-0.463703
1.336000	-0.465556	-0.465584
1.337500	-0.467434	-0.467463
1.339000	-0.469309	-0.469339
1.340500	-0.471181	-0.471212
1.342000	-0.473051	-0.473083
1.343500	-0.474918	-0.474951
1.345000	-0.476782	-0.476817
1.346500	-0.478644	-0.478680
1.348000	-0.480503	-0.480540
1.349500	-0.482360	-0.482397
1.351000	-0.484214	-0.484252
1.352500	-0.486065	-0.486105
1.354000	-0.487913	-0.487954
1.355500	-0.489759	-0.489801
1.357000	-0.491602	-0.491645
1.358500	-0.493442	-0.493486
1.360000	-0.495279	-0.495325
1.361500	-0.497114	-0.497161
1.363000	-0.498946	-0.498994
1.364500	-0.500775	-0.500824
1.366000	-0.502602	-0.502652
1.367500	-0.504425	-0.504476
1.369000	-0.506246	-0.506298
1.370500	-0.508064	-0.508118
1.372000	-0.509879	-0.509934
1.373500	-0.511692	-0.511747
1.375000	-0.513501	-0.513558
1.376500	-0.515308	-0.515366
1.378000	-0.517112	-0.517171
1.379500	-0.518912	-0.518973
1.381000	-0.520710	-0.520772
1.382500	-0.522506	-0.522569
1.384000	-0.524298	-0.524362
1.385500	-0.526087	-0.526153
1.387000	-0.527874	-0.527940
1.388500	-0.529657	-0.529725
1.390000	-0.531438	-0.531507
1.391500	-0.533215	-0.533286
1.393000	-0.534990	-0.535061
1.394500	-0.536761	-0.536834
1.396000	-0.538530	-0.538604
1.397500	-0.540296	-0.540371
1.399000	-0.542058	-0.542135
1.400500	-0.543818	-0.543896
1.402000	-0.545575	-0.545654
1.403500	-0.547328	-0.547409
1.405000	-0.549079	-0.549161
1.406500	-0.550826	-0.550910
1.408000	-0.552571	-0.552655
1.409500	-0.554312	-0.554398
1.411000	-0.556050	-0.556138
1.412500	-0.557786	-0.557874
1.414000	-0.559518	-0.559608
1.415500	-0.561247	-0.561338
1.417000	-0.562973	-0.563065
1.418500	-0.564695	-0.564789
1.420000	-0.566415	-0.566510
1.421500	-0.568131	-0.568228
1.423000	-0.569845	-0.569943
1.424500	-0.571555	-0.571654
1.426000	-0.573262	-0.573363
1.427500	-0.574966	-0.575068
1.429000	-0.576666	-0.576770
1.430500	-0.578364	-0.578468
1.432000	-0.580058	-0.580164
1.433500	-0.581749	-0.581856
1.435000	-0.583436	-0.583545
1.436500	-0.585121	-0.585231
1.438000	-0.586802	-0.586914
1.439500	-0.588480	-0.588593
1.441000	-0.590155	-0.590269
1.442500	-0.591826	-0.591942
1.444000	-0.593494	-0.593611
1.445500	-0.595159	-0.595277
1.447000	-0.596821	-0.596940
1.448500	-0.598479	-0.598600
1.450000	-0.600134	-0.600256
1.451500	-0.601785	-0.601909
1.453000	-0.603433	-0.603558
1.454500	-0.605078	-0.605204
1.456000	-0.606720	-0.606847
1.457500	-0.608358	-0.608486
1.459000	-0.609993	-0.610122
1.460500	-0.611624	-0.611755
1.462000	-0.613252	-0.613384
1.463500	-0.614877	-0.615010
1.465000	-0.616498	-0.616632
1.466500	-0.618115	-0.618251
1.468000	-0.619730	-0.619866
1.469500	-0.621340	-0.621478
1.471000	-0.622948	-0.623087
1.472500	-0.624552	-0.624692
1.474000	-0.626152	-0.626293
1.475500	-0.627749	-0.627891
1.477000	-0.629343	-0.629486
1.478500	-0.630933	-0.631077
1.480000	-0.632519	-0.632664
1.481500	-0.634102	-0.634248
1.483000	-0.635681	-0.635828
1.484500	-0.637257	-0.637405
1.486000	-0.638830	-0.638978
1.487500	-0.640398	-0.640548
1.489000	-0.641964	-0.642114
1.490500	-0.643525	-0.643676
1.492000	-0.645083	-0.645235
1.493500	-0.646638	-0.646790
1.495000	-0.648189	-0.648342
1.496500	-0.649736	-0.649890
1.498000	-0.651280	-0.651434
1.499500	-0.652820	-0.652975
1.501000	-0.654357	-0.654512
1.502500	-0.655889	-0.656045
1.504000	-0.657419	-0.657574
1.505500	-0.658944	-0.659100
1.507000	-0.660466	-0.660622
1.508500	-0.661984	-0.662141
1.510000	-0.663499	-0.663656
1.511500	-0.665010	-0.665166
1.513000	-0.666517	-0.666674
1.514500	-0.668020	-0.668177
1.516000	-0.669520	-0.669677
1.517500	-0.671016	-0.671173
1.519000	-0.672508	-0.672665
1.520500	-0.673997	-0.674153
1.522000	-0.675482	-0.675638
1.523500	-0.676963	-0.677118
1.525000	-0.678440	-0.678595
1.526500	-0.679914	-0.680068
1.528000	-0.681383	-0.681537
1.529500	-0.682849	-0.683002
1.531000	-0.684311	-0.684464
1.532500	-0.685770	-0.685921
1.534000	-0.687224	-0.687375
1.535500	-0.688675	-0.688825
1.537000	-0.690122	-0.690271
1.538500	-0.691565	-0.691713
1.540000	-0.693004	-0.693151
1.541500	-0.694440	-0.694585
1.543000	-0.695871	-0.696015
1.544500	-0.697299	-0.697441
1.546000	-0.698723	-0.698863
1.547500	-0.700142	-0.700281
1.549000	-0.701559	-0.701695
1.550500	-0.702971	-0.703106
1.552000	-0.704379	-0.704512
1.553500	-0.705783	-0.705914
1.555000	-0.707183	-0.707312
1.556500	-0.708580	-0.708706
1.558000	-0.709972	-0.710096
1.559500	-0.711361	-0.711482
1.561000	-0.712746	-0.712864
1.562500	-0.714126	-0.714242
1.564000	-0.715503	-0.715616
1.565500	-0.716876	-0.716985
1.567000	-0.718244	-0.718351
1.568500	-0.719609	-0.719712
